mva_cut value,signal count,error,zll count,unweighted count,error,mc weight,error,combined error,formatted error, enu count,unweighted count, error, mc weight,error,combined error,formatted error,munu count,unweighted count,error, mc weight,error,combined error,formatted error,taunu count,unweighted count, error,mc weight,error,combined error,formatted error,top count,error,mc weight,error,combined error,formatted error,VV count, error, mc weight, error,combined error,formatted error,znunu count,unweighted count,error,mc weight,error,combined error,formatted error,qcd count,error, mc weight, error,combined error,formatted error,data,,,,,,,,,
0,793.177,0,23.6629431,25.9164,5.090815259,0.913049,0.0404855,4.765115716,1.201374601,464.3992745,634.032,25.17999206,0.732454,0.052055,37.80807436,1.081412863,255.8590171,795.49,28.20443228,0.321637,0.0135035,14.05994756,1.054951933,608.43,,0,1.24369,0.139659,0,0,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.7368,8.929546461,1,0,8.929546461,1.111987771,2094.37,,230.54,,230.54,230.54,1.110076061,72.7025,8.526576101,1,0,8.526576101,1.11728037,3433,,,,,,,,,
0.01,793.177,0,23.6629431,25.9164,5.090815259,0.913049,0.0404855,4.765115716,1.201374601,464.3992745,634.032,25.17999206,0.732454,0.052055,37.80807436,1.081412863,255.8590171,795.49,28.20443228,0.321637,0.0135035,14.05994756,1.054951933,608.43,,0,1.24369,0.139659,0,0,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.7368,8.929546461,1,0,8.929546461,1.111987771,2094.37,,230.54,,230.54,230.54,1.110076061,72.7025,8.526576101,1,0,8.526576101,1.11728037,3433,,,,,,,,,
0.02,793.177,0,23.6629431,25.9164,5.090815259,0.913049,0.0404855,4.765115716,1.201374601,464.3992745,634.032,25.17999206,0.732454,0.052055,37.80807436,1.081412863,255.8590171,795.49,28.20443228,0.321637,0.0135035,14.05994756,1.054951933,608.43,,0,1.24369,0.139659,0,0,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.7368,8.929546461,1,0,8.929546461,1.111987771,2094.37,,230.54,,230.54,230.54,1.110076061,72.7025,8.526576101,1,0,8.526576101,1.11728037,3433,,,,,,,,,
0.03,793.177,0,23.6629431,25.9164,5.090815259,0.913049,0.0404855,4.765115716,1.201374601,464.3992745,634.032,25.17999206,0.732454,0.052055,37.80807436,1.081412863,255.8590171,795.49,28.20443228,0.321637,0.0135035,14.05994756,1.054951933,608.43,,0,1.24369,0.139659,0,0,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.7368,8.929546461,1,0,8.929546461,1.111987771,2094.37,,230.54,,230.54,230.54,1.110076061,72.7025,8.526576101,1,0,8.526576101,1.11728037,3433,,,,,,,,,
0.04,793.177,0,23.6629431,25.9164,5.090815259,0.913049,0.0404855,4.765115716,1.201374601,464.3992745,634.032,25.17999206,0.732454,0.052055,37.80807436,1.081412863,255.8590171,795.49,28.20443228,0.321637,0.0135035,14.05994756,1.054951933,608.43,,0,1.24369,0.139659,0,0,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.7368,8.929546461,1,0,8.929546461,1.111987771,2094.37,,230.54,,230.54,230.54,1.110076061,72.7025,8.526576101,1,0,8.526576101,1.11728037,3433,,,,,,,,,
0.05,791.197,0,27.04222554,25.539,5.053612569,1.05886,0.0443829,5.469802701,1.202268955,418.1148784,616.068,24.82071715,0.678683,0.0534267,36.97472742,1.088431982,232.5724154,775.443,27.84677719,0.299922,0.0135922,13.44785058,1.057822208,591.771,,0,0.916588,0.160908,0,0,3.37867,1.838115883,1,0,1.838115883,1.54403534,79.017,8.889150691,1,0,8.889150691,1.112496687,2206.04,,245.34,,245.34,245.34,1.111212852,70.1094,8.373135613,1,0,8.373135613,1.119429572,3298,,,,,,,,,
0.06,787.14,0,25.78843658,24.4248,4.942145283,1.05583,0.044873,5.331927587,1.206756527,391.4191242,594.071,24.37357175,0.658876,0.0550093,36.41211066,1.093025886,220.1289288,751.578,27.41492294,0.292889,0.0137456,13.0843663,1.059439558,571.178,,0,0.886959,0.185508,0,0,2.92154,1.709251298,1,0,1.709251298,1.585051479,77.4602,8.801147652,1,0,8.801147652,1.113621546,2152.02,,242.082,,242.082,242.082,1.11249059,67.7564,8.23142758,1,0,8.23142758,1.12148561,3169,,,,,,,,,
0.07,783.891,0,24.92971711,23.3619,4.833414942,1.06711,0.0454454,5.265922329,1.211230729,369.0194451,573.406,23.94589735,0.643557,0.0568578,36.06126472,1.097721855,209.1788541,726.018,26.94472119,0.288118,0.0137686,12.65674665,1.060506817,552.322,,0,0.958918,0.212383,0,0,2.86011,1.691185974,1,0,1.691185974,1.591301025,72.1645,8.494969099,1,0,8.494969099,1.117716732,2149,,240.935,,240.935,240.935,1.112114937,66.2893,8.14182412,1,0,8.14182412,1.122822599,3026,,,,,,,,,
0.08,776.961,0,23.60664828,23.0026,4.796102584,1.02626,0.0452313,5.030811968,1.213109964,357.3746112,555.599,23.57114762,0.643224,0.0589494,36.09127797,1.100990045,203.2635902,703.641,26.5262323,0.288874,0.0138737,12.4103281,1.061055342,532.491,,0,0.876362,0.213821,0,0,2.86011,1.691185974,1,0,1.691185974,1.591301025,70.9143,8.421062878,1,0,8.421062878,1.118749856,2013.34,,233.074,,233.074,233.074,1.115764848,61.2509,7.82629542,1,0,7.82629542,1.127774374,2889,,,,,,,,,
0.09,774.122,0,24.26804071,22.5002,4.743437572,1.07857,0.0468772,5.22372191,1.215251077,333.8406036,531.031,23.04410988,0.628665,0.0601421,35.06944939,1.105048484,195.4043144,674.543,25.97196566,0.289684,0.0139801,12.06373788,1.061737316,519.152,,0,0.825855,0.221348,0,0,2.42489,1.557205831,1,0,1.557205831,1.642175864,68.7816,8.293467309,1,0,8.293467309,1.12057683,2033.54,,235.805,,235.805,235.805,1.115957886,59.5515,7.716961837,1,0,7.716961837,1.129584676,2793,,,,,,,,,
0.1,768.91,0,22.5520538,21.7474,4.663410769,1.037,0.0465846,4.940935043,1.219090247,327.5475095,520.005,22.80361813,0.629893,0.0620293,35.30920759,1.107798736,187.7355705,656.797,25.62805104,0.285835,0.0140054,11.75914814,1.062636761,508.004,,0,0.830834,0.236615,0,0,2.37242,1.540266211,1,0,1.540266211,1.649238419,66.5348,8.156886661,1,0,8.156886661,1.122595794,1928.47,,228.085,,228.085,228.085,1.118272517,57.939,7.611767206,1,0,7.611767206,1.131375536,2691,,,,,,,,,
0.11,761.656,0,20.88854038,21.344,4.61995671,0.978661,0.0456796,4.625299592,1.221427611,310.5762283,505.186,22.47634312,0.614776,0.0626351,34.52788361,1.11117362,183.5260479,640.193,25.30203549,0.286673,0.0141418,11.60075375,1.063210394,494.444,,0,0.798127,0.24367,0,0,2.37242,1.540266211,1,0,1.540266211,1.649238419,64.4149,8.025889359,1,0,8.025889359,1.124596784,1803.63,,219.296,,219.296,219.296,1.121585913,56.4568,7.513774018,1,0,7.513774018,1.133088911,2595,,,,,,,,,
0.12,755.743,0,19.092802,21.1251,4.596204956,0.903797,0.0455023,4.263801207,1.223319825,290.2563949,486.168,22.04921767,0.597029,0.0631988,33.42650897,1.115162007,175.1372292,614.536,24.78983663,0.284991,0.0140929,11.17669134,1.063816765,478.985,,0,0.883841,0.274146,0,0,2.37242,1.540266211,1,0,1.540266211,1.649238419,59.6427,7.722868638,1,0,7.722868638,1.129485564,1647.94,,202.888,,202.888,202.888,1.123116133,55.7931,7.469477893,1,0,7.469477893,1.133878166,2510,,,,,,,,,
0.13,750.811,0,18.18946916,20.8487,4.56603767,0.872451,0.0454845,4.094957826,1.225127946,283.955654,476.554,21.83011681,0.595852,0.0642557,33.26950891,1.117164453,171.2880901,598.811,24.47061503,0.286047,0.0142136,11.01989073,1.064335417,467.078,,0,0.875605,0.288504,0,0,2.37242,1.540266211,1,0,1.540266211,1.649238419,58.1023,7.622486471,1,0,7.622486471,1.131190787,1568.24,,195.609,,195.609,195.609,1.124731546,52.4023,7.238943293,1,0,7.238943293,1.138141709,2427,,,,,,,,,
0.14,743.743,0,20.10405133,19.6786,4.436056808,1.02162,0.0502389,4.638544233,1.23072684,277.4215628,464.119,21.54342127,0.597738,0.0665025,33.44365696,1.120551757,157.5481353,584.217,24.17058129,0.269674,0.0142787,10.58646551,1.067195118,451.606,,0,0.810504,0.288483,0,0,1.86017,1.363880493,1,0,1.363880493,1.733202069,55.3105,7.437102931,1,0,7.437102931,1.13446096,1675.19,,208.202,,208.202,208.202,1.124285603,51.1443,7.151524313,1,0,7.151524313,1.139830329,2341,,,,,,,,,
0.15,734.652,0,17.92473773,18.5037,4.301592728,0.968711,0.0494775,4.266387424,1.238016728,277.441701,454.619,21.32179636,0.610273,0.0702069,34.4678837,1.12423469,155.5040745,568.367,23.84044882,0.273598,0.014266,10.4062729,1.066919616,439.733,,0,0.63928,0.263014,0,0,1.86017,1.363880493,1,0,1.363880493,1.733202069,54.6423,7.392043019,1,0,7.392043019,1.135280598,1575.17,,200.437,,200.437,200.437,1.127247853,48.7734,6.98379553,1,0,6.98379553,1.143188614,2269,,,,,,,,,
0.16,728.337,0,16.45219859,17.7404,4.211935422,0.927386,0.0485467,3.999908665,1.243123048,263.9306652,437.524,20.91707437,0.603237,0.0718524,33.8748743,1.128347626,152.5536776,553.284,23.52198971,0.275724,0.0143717,10.2611479,1.06726254,427.198,,0,0.763073,0.305282,0,0,1.86017,1.363880493,1,0,1.363880493,1.733202069,54.2631,7.366349164,1,0,7.366349164,1.135752457,1499.24,,195.548,,195.548,195.548,1.130431419,47.6981,6.906381107,1,0,6.906381107,1.144793631,2188,,,,,,,,,
0.17,719.83,0,15.5512484,17.0445,4.128498516,0.912391,0.048919,3.857984104,1.248081955,244.9427837,420.603,20.50860795,0.582361,0.0720953,32.59079232,1.133054715,146.7635024,535.514,23.14117542,0.274061,0.0145424,10.04339493,1.068432511,416.689,,0,0.751732,0.313308,0,0,1.86017,1.363880493,1,0,1.363880493,1.733202069,47.8925,6.920440737,1,0,6.920440737,1.144499467,1417.65,,191.485,,191.485,191.485,1.135072126,45.5111,6.746191518,1,0,6.746191518,1.148231783,2114,,,,,,,,,
0.18,714.287,0,14.89147027,16.5312,4.065857843,0.90081,0.0487916,3.750328332,1.25184406,237.5983787,407.834,20.19490035,0.582586,0.074265,32.49264277,1.13675448,144.0911967,521.199,22.82978318,0.276461,0.0148188,9.974403454,1.069222851,402.407,,0,0.815476,0.330926,0,0,1.86017,1.363880493,1,0,1.363880493,1.733202069,44.2448,6.65167648,1,0,6.65167648,1.150338039,1354.88,,189.594,,189.594,189.594,1.139934164,43.4054,6.588277468,1,0,6.588277468,1.151784743,2038,,,,,,,,,
0.19,700.051,0,14.29615166,15.9738,3.996723658,0.894975,0.0493969,3.662964375,1.256220308,225.6246386,393.286,19.83143969,0.573691,0.0756139,31.83992499,1.141119007,141.3156806,510.071,22.58475149,0.277051,0.0150595,9.907359644,1.070107999,387.933,,0,0.843139,0.346811,0,0,1.83337,1.354019941,1,0,1.354019941,1.73854156,43.3144,6.581367639,1,0,6.581367639,1.151944103,1305.42,,184.856,,184.856,184.856,1.141606533,41.0662,6.408291504,1,0,6.408291504,1.156047833,1953,,,,,,,,,
0.2,683.509,0,14.34177936,15.7874,3.97333613,0.908432,0.0506259,3.696935758,1.257773855,227.3565608,381.545,19.5331769,0.595884,0.0787245,32.21328705,1.1416862,136.3174107,495.779,22.2660953,0.274956,0.0153286,9.758851338,1.071589178,378.787,,0,0.766805,0.330933,0,0,1.83337,1.354019941,1,0,1.354019941,1.73854156,41.1903,6.417966968,1,0,6.417966968,1.155812581,1258.26,,183.152,,183.152,183.152,1.145559741,39.6452,6.296443441,1,0,6.296443441,1.158819818,1882,,,,,,,,,
0.21,665.801,0,14.68054755,15.142,3.891272286,0.969525,0.0531738,3.85764653,1.26277266,226.3542857,368.118,19.18640143,0.614896,0.0845752,33.29397428,1.14708789,127.2433338,479.16,21.88972362,0.265555,0.015533,9.443794811,1.074218386,367.603,,0,0.692855,0.311382,0,0,1.82794,1.352013314,1,0,1.352013314,1.739637687,37.9704,6.162012658,1,0,6.162012658,1.162284639,1257.04,,185.967,,185.967,185.967,1.1479404,37.9936,6.163894873,1,0,6.163894873,1.162235084,1806,,,,,,,,,
0.22,658.112,0,13.94409165,14.5697,3.817027639,0.957061,0.0535687,3.735571597,1.267896374,216.6690419,358.501,18.93412264,0.604375,0.0868912,33.18596265,1.153164302,122.8499297,462.736,21.51129936,0.265486,0.0159217,9.321782965,1.075879433,352.047,,0,0.644722,0.304466,0,0,1.51736,1.231811674,1,0,1.231811674,1.811812407,31.8653,5.644935784,1,0,5.644935784,1.177149934,1232.39,,182.273,,182.273,182.273,1.147902044,35.6441,5.970268001,1,0,5.970268001,1.167496668,1722,,,,,,,,,
0.23,652.323,0,13.17876236,13.6673,3.69693116,0.964255,0.0545359,3.641874078,1.276344165,198.868839,341.336,18.47528078,0.582619,0.0887456,32.14769284,1.161652741,121.2913044,449.089,21.19172008,0.270083,0.0160004,9.186491113,1.075739074,337.968,,0,0.685456,0.328265,0,0,1.51736,1.231811674,1,0,1.231811674,1.811812407,30.1237,5.488506172,1,0,5.488506172,1.182198939,1220.46,,179.555,,179.555,179.555,1.147120758,34.0887,5.838552903,1,0,5.838552903,1.171275317,1656,,,,,,,,,
0.24,632.57,0,12.04379812,13.1891,3.631680052,0.913163,0.0533421,3.390119662,1.281482604,190.8307734,325.617,18.04486076,0.586059,0.0910934,31.4904146,1.165017487,118.1900047,431.697,20.77731937,0.27378,0.0163695,9.071703266,1.076755249,323.87,,0,0.852611,0.396567,0,0,1.51736,1.231811674,1,0,1.231811674,1.811812407,29.6933,5.449155898,1,0,5.449155898,1.183514661,1143.06,,173.869,,173.869,173.869,1.152108376,32.0011,5.656951476,1,0,5.656951476,1.176773657,1584,,,,,,,,,
0.25,623.256,0,11.27152829,13.1241,3.622719973,0.858842,0.0526869,3.187254319,1.282770378,172.1398149,314.157,17.7244746,0.547942,0.0904442,30.02764997,1.174437564,118.7837481,400.459,20.01147171,0.296619,0.0164265,8.860329527,1.074592103,309.138,,0,0.77865,0.400853,0,0,0.771106,0.878126415,1,0,0.878126415,2.138788201,27.8477,5.277092002,1,0,5.277092002,1.189498307,1061.55,,162.939,,162.939,162.939,1.153491592,31.4945,5.61199608,1,0,5.61199608,1.178189718,1483,,,,,,,,,
0.26,611.561,0,12.52286034,12.8838,3.589401064,0.971985,0.057894,3.567687113,1.284893947,162.8527676,302.621,17.39600529,0.538141,0.0923489,29.47298275,1.180979318,112.1409777,379.479,19.48022074,0.295513,0.016905,8.619311369,1.07686139,293.37,,0,0.832872,0.421321,0,0,0.771106,0.878126415,1,0,0.878126415,2.138788201,26.1306,5.111809856,1,0,5.111809856,1.19562543,1050.13,,168.935,,168.935,168.935,1.160870559,29.5628,5.437168381,1,0,5.437168381,1.183919263,1402,,,,,,,,,
0.27,595.976,0,11.70609897,12.2712,3.503027262,0.953949,0.0589802,3.419188033,1.292086035,155.0109603,282.243,16.80008929,0.549211,0.0968621,28.85369112,1.186139684,102.1281287,355.774,18.86197233,0.287059,0.0168389,8.075084894,1.079068176,280.961,,0,0.868346,0.437794,0,0,0.724585,0.851225587,1,0,0.851225587,2.174776716,25.547,5.05440402,1,0,5.05440402,1.197847263,987.738,,163.064,,163.064,163.064,1.165088313,26.4946,5.147290549,1,0,5.147290549,1.194276968,1315,,,,,,,,,
0.28,576.977,0,10.39686575,11.215,3.34888041,0.92705,0.0594723,3.175417953,1.305420694,153.1867215,264.029,16.2489692,0.580189,0.107176,29.8266632,1.194707889,95.2704881,332.581,18.23680345,0.286458,0.0173905,7.793763928,1.081806697,265.319,,0,0.531576,0.357683,0,0,0.724585,0.851225587,1,0,0.851225587,2.174776716,23.8037,4.878903565,1,0,4.878903565,1.204964084,940.084,,157.26,,157.26,157.26,1.167282924,24.736,4.973529934,1,0,4.973529934,1.201064438,1231,,,,,,,,,
